BookID,Title,Author,Genre,Year,Copies
1900001,Golden between Darkness,Suresh Pawar,Horror,1931,29
1900002,Midnight from Chronicle,Leo ConanDoyle,Young,1912,20
1900003,Ancient over Fate,Amit Dostoevsky,Education,1990,86
2000004,Burning and Kingdom,Ray Das,Economics,2023,94
1900005,Broken under Mirror,Emily Steinbeck,Programming,1949,91
1900006,Lonely of Myth,Manoj Gaiman,Horror,1989,17
2000007,Cursed beyond Secrets,Leo Bose,Psychology,2009,50
1900008,Silent under Echoes,Kurt Tolstoy,Business,1921,26
1900009,Midnight to Shadows,Oscar Dickens,Education,1982,71
2000010,Fallen in Power,Arjun Kulkarni,Biology,2000,77
1900011,Burning between Blood,Kavita Das,Non-Fiction,1950,68
2000012,Hollow in Darkness,Margaret Khanna,Mystery,2000,17
1900013,Wandering between Storm,Priya Kafka,Mathematics,1924,85
1900014,Shattered within Horizon,Deepak Borges,Education,1954,98
1900015,Fading beyond Silence,Toni Joyce,Psychology,1999,31
1900016,Forgotten beyond Light,Toni Christie,Education,1927,21
1900017,Crimson and Ashes,Rahul Shetty,Mystery,1998,4
1900018,Distant and Fate,Vikas Ghosh,Fiction,1931,90
1900019,Fading beyond Fire,John Pillai,Non-Fiction,1902,89
1900020,Distant of Hope,Mark Shetty,Poetry,1944,44
1900021,Hollow of Worlds,Aldous Christie,Adventure,1986,86
1900022,Hidden beyond Storm,Vikas Kapoor,Horror,1953,18
1900023,Final to Echoes,Mark Huxley,Biology,1985,40
1900024,Unseen over Worlds,Leo Singh,Children,1979,11
1900025,Restless between Mirror,Ashok Bronte,Drama,1996,5
1900026,Rising of Shadows,Amit Murakami,Education,1987,70
2000027,Dark in Dreams,Neha Kumar,Horror,2015,69
1900028,Fallen between Legacy,Shreya Melville,Sociology,1912,34
1900029,Eternal in Light,Manoj Khanna,Horror,1957,58
1900030,Hollow within Power,Stephen Rao,Non-Fiction,1948,50
1900031,Cursed in Mirror,Margaret Steinbeck,Adventure,1952,52
1900032,Golden over Echoes,Fyodor Pawar,Mystery,1944,44
1900033,Fallen over Echoes,Shreya Dickens,Self Help,1990,61
1900034,Distant to Truth,Anand Shakespeare,Physics,1945,50
1900035,Fallen from Mirror,Franz Tolstoy,Technology,1957,13
1900036,Golden beyond Memory,Haruki Pillai,Historical,1968,63
1900037,Twisted beyond Ashes,Agatha Shetty,Poetry,1914,18
1900038,Lost in Fire,Franz Gupta,Programming,1908,13
2000039,Lonely from Worlds,William Dickens,Biography,2007,64
1900040,Cursed to Darkness,Stephen Wilde,Psychology,1951,25
1900041,Cursed in Fate,Agatha Joyce,Romance,1992,48
1900042,Forgotten under Blood,George Huxley,Fiction,1966,40
2000043,Silent over Stars,Emily Marquez,Business,2027,4
